time/us,fir,iir,iirMSB,iirLSB
0.000000e+00,0,0,0,0
1.000000e+00,0,512,1,0
2.000000e+00,0,1020,1,0
3.000000e+00,0,1525,2,1
4.000000e+00,0,2026,3,0
5.000000e+00,0,2523,4,1
6.000000e+00,0,3016,5,0
7.000000e+00,0,3505,6,1
8.000000e+00,0,3990,7,0
9.000000e+00,0,4471,8,1
1.000000e+01,0,4949,9,1
1.100000e+01,0,5423,10,1
1.200000e+01,0,5893,11,1
1.300000e+01,0,6359,12,1
1.400000e+01,0,6822,13,0
1.500000e+01,0,7281,14,1
1.600000e+01,0,7737,15,1
1.700000e+01,0,8189,15,1
1.800000e+01,0,8638,16,0
1.900000e+01,0,9083,17,1
2.000000e+01,0,9525,18,1
2.100000e+01,0,9963,19,1
2.200000e+01,0,10398,20,0
2.300000e+01,0,10829,21,1
2.400000e+01,0,11257,21,1
2.500000e+01,0,11682,22,0
2.600000e+01,0,12103,23,1
2.700000e+01,0,12521,24,1
2.800000e+01,0,12936,25,0
2.900000e+01,0,13347,26,1
3.000000e+01,0,13755,26,1
3.100000e+01,0,14160,27,0
3.200000e+01,0,14562,28,0
3.300000e+01,0,14961,29,1
3.400000e+01,0,15357,29,1
3.500000e+01,0,15750,30,0
3.600000e+01,0,16139,31,1
3.700000e+01,0,16525,32,1
3.800000e+01,0,16908,33,0
3.900000e+01,0,17288,33,0
4.000000e+01,0,17665,34,1
4.100000e+01,0,18039,35,1
4.200000e+01,0,18411,35,1
4.300000e+01,0,18780,36,0
4.400000e+01,0,19146,37,0
4.500000e+01,0,19509,38,1
4.600000e+01,0,19869,38,1
4.700000e+01,0,20226,39,0
4.800000e+01,0,20580,40,0
4.900000e+01,0,20932,40,0
5.000000e+01,0,21281,41,1
5.100000e+01,0,21627,42,1
5.200000e+01,0,21971,42,1
5.300000e+01,0,22312,43,0
5.400000e+01,0,22650,44,0
5.500000e+01,0,22986,44,0
5.600000e+01,0,23319,45,1
5.700000e+01,0,23649,46,1
5.800000e+01,0,23977,46,1
5.900000e+01,0,24302,47,0
6.000000e+01,0,24625,48,1
6.100000e+01,0,24945,48,1
6.200000e+01,0,25263,49,1
6.300000e+01,0,25578,49,0
6.400000e+01,0,25891,50,1
6.500000e+01,0,26201,51,1
6.600000e+01,0,26509,51,1
6.700000e+01,0,26814,52,0
6.800000e+01,0,27117,52,1
6.900000e+01,0,27418,53,0
7.000000e+01,0,27716,54,0
7.100000e+01,0,28012,54,0
7.200000e+01,0,28306,55,0
7.300000e+01,0,28597,55,1
7.400000e+01,0,28886,56,0
7.500000e+01,0,29173,56,1
7.600000e+01,0,29458,57,0
7.700000e+01,0,29740,58,0
7.800000e+01,0,30020,58,0
7.900000e+01,0,30298,59,0
8.000000e+01,0,30574,59,0
8.100000e+01,0,30848,60,0
8.200000e+01,0,31119,60,1
8.300000e+01,0,31388,61,0
8.400000e+01,0,31655,61,1
8.500000e+01,0,31920,62,0
8.600000e+01,0,32183,62,1
8.700000e+01,0,32444,63,0
8.800000e+01,0,32703,63,1
8.900000e+01,0,32960,64,0
9.000000e+01,0,33215,64,1
9.100000e+01,0,33468,65,0
9.200000e+01,0,33719,65,1
9.300000e+01,0,33968,66,0
9.400000e+01,0,34215,66,1
9.500000e+01,0,34460,67,0
9.600000e+01,0,34703,67,1
9.700000e+01,0,34944,68,0
9.800000e+01,0,35183,68,1
9.900000e+01,0,35421,69,1
1.000000e+02,0,35657,69,1
1.010000e+02,0,35891,70,1
1.020000e+02,0,36123,70,1
1.030000e+02,0,36353,71,1
1.040000e+02,0,36581,71,1
1.050000e+02,0,36808,71,0
1.060000e+02,0,37033,72,1
1.070000e+02,0,37256,72,0
1.080000e+02,0,37477,73,1
1.090000e+02,0,37697,73,1
1.100000e+02,0,37915,74,1
1.110000e+02,0,38131,74,1
1.120000e+02,0,38346,74,0
1.130000e+02,0,38559,75,1
1.140000e+02,0,38770,75,0
1.150000e+02,0,38980,76,0
1.160000e+02,0,39188,76,0
1.170000e+02,0,39394,76,0
1.180000e+02,0,39599,77,1
1.190000e+02,0,39802,77,0
1.200000e+02,0,40004,78,0
1.210000e+02,0,40204,78,0
1.220000e+02,0,40402,78,0
1.230000e+02,0,40599,79,1
1.240000e+02,0,40794,79,0
1.250000e+02,0,40988,80,0
1.260000e+02,0,41180,80,0
1.270000e+02,0,41371,80,1
1.280000e+02,0,41560,81,0
1.290000e+02,0,41748,81,0
1.300000e+02,0,41934,81,0
1.310000e+02,0,42119,82,1
1.320000e+02,0,42302,82,0
1.330000e+02,0,42484,82,0
1.340000e+02,0,42665,83,1
1.350000e+02,0,42844,83,0
1.360000e+02,0,43022,84,0
1.370000e+02,0,43198,84,0
1.380000e+02,0,43373,84,1
1.390000e+02,0,43547,85,1
1.400000e+02,0,43719,85,1
1.410000e+02,0,43890,85,0
1.420000e+02,0,44060,86,0
1.430000e+02,0,44228,86,0
1.440000e+02,0,44395,86,1
1.450000e+02,0,44049,86,1
1.460000e+02,1,44217,86,1
1.470000e+02,1,44384,86,0
1.480000e+02,1,44550,87,0
1.490000e+02,1,44714,87,0
1.500000e+02,1,44877,87,1
1.510000e+02,1,45039,87,1
1.520000e+02,1,44688,87,0
1.530000e+02,2,44851,87,1
1.540000e+02,2,45013,87,1
1.550000e+02,2,45174,88,0
1.560000e+02,2,45334,88,0
1.570000e+02,2,45492,88,0
1.580000e+02,2,45649,89,1
1.590000e+02,2,45293,88,1
1.600000e+02,3,45452,88,0
1.610000e+02,3,45609,89,1
1.620000e+02,3,45765,89,1
1.630000e+02,3,45920,89,0
1.640000e+02,3,46074,89,0
1.650000e+02,3,46227,90,1
1.660000e+02,3,45866,89,0
1.670000e+02,4,46020,89,0
1.680000e+02,4,46173,90,1
1.690000e+02,4,46325,90,1
1.700000e+02,4,46476,90,0
1.710000e+02,4,46625,91,1
1.720000e+02,4,46773,91,1
1.730000e+02,4,46408,90,0
1.740000e+02,5,46558,90,0
1.750000e+02,5,46707,91,1
1.760000e+02,5,46855,91,1
1.770000e+02,5,47001,91,1
1.780000e+02,5,47146,92,0
1.790000e+02,5,47290,92,0
1.800000e+02,5,46921,91,1
1.810000e+02,6,47067,91,1
1.820000e+02,6,47212,92,0
1.830000e+02,6,47356,92,0
1.840000e+02,6,47499,92,1
1.850000e+02,6,47640,93,0
1.860000e+02,6,47780,93,0
1.870000e+02,6,47407,92,1
1.880000e+02,7,47549,92,1
1.890000e+02,7,47690,93,0
1.900000e+02,7,47830,93,0
1.910000e+02,7,47969,93,1
1.920000e+02,7,48107,93,1
1.930000e+02,7,47732,93,0
1.940000e+02,8,47872,93,0
1.950000e+02,8,48010,93,0
1.960000e+02,8,48147,94,1
1.970000e+02,8,48283,94,1
1.980000e+02,8,48418,94,0
1.990000e+02,8,48552,94,0
2.000000e+02,8,48173,94,1
2.010000e+02,9,48309,94,1
2.020000e+02,9,48444,94,0
2.030000e+02,9,48578,94,0
2.040000e+02,9,48711,95,1
2.050000e+02,9,48843,95,1
2.060000e+02,9,48462,94,0
2.070000e+02,10,48596,94,0
2.080000e+02,10,48729,95,1
2.090000e+02,10,48861,95,1
2.100000e+02,10,48992,95,0
2.110000e+02,10,49122,95,0
2.120000e+02,10,48739,95,1
2.130000e+02,11,48871,95,1
2.140000e+02,11,49002,95,0
2.150000e+02,11,49132,95,0
2.160000e+02,11,49261,96,1
2.170000e+02,11,49389,96,1
2.180000e+02,11,49004,95,0
2.190000e+02,12,49134,95,0
2.200000e+02,12,49263,96,1
2.210000e+02,12,49391,96,1
2.220000e+02,12,49518,96,0
2.230000e+02,12,49644,96,0
2.240000e+02,12,49257,96,1
2.250000e+02,13,49385,96,1
2.260000e+02,13,49512,96,0
2.270000e+02,13,49638,96,0
2.280000e+02,13,49763,97,1
2.290000e+02,13,49375,96,1
2.300000e+02,14,49502,96,0
2.310000e+02,14,49628,96,0
2.320000e+02,14,49753,97,1
2.330000e+02,14,49877,97,1
2.340000e+02,14,50000,97,0
2.350000e+02,14,49610,96,0
2.360000e+02,15,49735,97,1
2.370000e+02,15,49859,97,1
2.380000e+02,15,49982,97,0
2.390000e+02,15,50104,97,0
2.400000e+02,15,50225,98,1
2.410000e+02,15,49833,97,1
2.420000e+02,16,49956,97,0
2.430000e+02,16,50078,97,0
2.440000e+02,16,50199,98,1
2.450000e+02,16,50319,98,1
2.460000e+02,16,49926,97,0
2.470000e+02,17,50048,97,0
2.480000e+02,17,50169,97,1
2.490000e+02,17,50290,98,0
2.500000e+02,17,50410,98,0
2.510000e+02,17,50017,97,1
2.520000e+02,18,50139,97,1
2.530000e+02,18,50260,98,0
2.540000e+02,18,50380,98,0
2.550000e+02,18,50499,98,1
2.560000e+02,18,50105,97,1
2.570000e+02,19,50226,98,0
2.580000e+02,19,50346,98,0
2.590000e+02,19,50465,98,1
2.600000e+02,19,50583,98,1
2.610000e+02,19,50700,99,0
2.620000e+02,19,50304,98,0
2.630000e+02,20,50423,98,1
2.640000e+02,20,50542,98,0
2.650000e+02,20,50660,98,0
2.660000e+02,20,50777,99,1
2.670000e+02,20,50381,98,1
2.680000e+02,21,50500,98,0
2.690000e+02,21,50618,98,0
2.700000e+02,21,50735,99,1
2.710000e+02,21,50339,98,1
2.720000e+02,22,50458,98,0
2.730000e+02,22,50576,98,0
2.740000e+02,22,50693,99,1
2.750000e+02,22,50809,99,1
2.760000e+02,22,50413,98,1
2.770000e+02,23,50532,98,0
2.780000e+02,23,50650,98,0
2.790000e+02,23,50767,99,1
2.800000e+02,23,50883,99,1
2.810000e+02,23,50486,98,0
2.820000e+02,24,50604,98,0
2.830000e+02,24,50721,99,1
2.840000e+02,24,50837,99,1
2.850000e+02,24,50952,99,0
2.860000e+02,24,50554,98,0
2.870000e+02,25,50672,98,0
2.880000e+02,25,50789,99,1
2.890000e+02,25,50905,99,1
2.900000e+02,25,50508,98,0
2.910000e+02,26,50626,98,0
2.920000e+02,26,50743,99,1
2.930000e+02,26,50859,99,1
2.940000e+02,26,50974,99,0
2.950000e+02,26,50576,98,0
2.960000e+02,27,50693,99,1
2.970000e+02,27,50809,99,1
2.980000e+02,27,50925,99,1
2.990000e+02,27,50528,98,0
3.000000e+02,28,50646,98,0
3.010000e+02,28,50763,99,1
3.020000e+02,28,50879,99,1
3.030000e+02,28,50994,99,0
3.040000e+02,28,50596,98,0
3.050000e+02,29,50713,99,1
3.060000e+02,29,50829,99,1
3.070000e+02,29,50944,99,0
3.080000e+02,29,50546,98,0
3.090000e+02,30,50664,98,0
3.100000e+02,30,50781,99,1
3.110000e+02,30,50897,99,1
3.120000e+02,30,50500,98,0
3.130000e+02,31,50618,98,0
3.140000e+02,31,50735,99,1
3.150000e+02,31,50851,99,1
3.160000e+02,31,50454,98,0
3.170000e+02,32,50572,98,0
3.180000e+02,32,50689,99,1
3.190000e+02,32,50805,99,1
3.200000e+02,32,50409,98,1
3.210000e+02,33,50528,98,0
3.220000e+02,33,50646,98,0
3.230000e+02,33,50763,99,1
3.240000e+02,33,50367,98,1
3.250000e+02,34,50486,98,0
3.260000e+02,34,50604,98,0
3.270000e+02,34,50721,99,1
3.280000e+02,34,50325,98,1
3.290000e+02,35,50444,98,0
3.300000e+02,35,50562,98,0
3.310000e+02,35,50679,98,1
3.320000e+02,35,50284,98,0
3.330000e+02,36,50404,98,0
3.340000e+02,36,50523,98,1
3.350000e+02,36,50641,98,1
3.360000e+02,36,50246,98,0
3.370000e+02,37,50366,98,0
3.380000e+02,37,50485,98,1
3.390000e+02,37,50603,98,1
3.400000e+02,37,50208,98,0
3.410000e+02,38,50328,98,0
3.420000e+02,38,50447,98,1
3.430000e+02,38,50565,98,1
3.440000e+02,38,50170,97,0
3.450000e+02,39,50291,98,1
3.460000e+02,39,50411,98,1
3.470000e+02,39,50530,98,0
3.480000e+02,39,50136,97,0
3.490000e+02,40,50257,98,1
3.500000e+02,40,50377,98,1
3.510000e+02,40,49984,97,0
3.520000e+02,41,50106,97,0
3.530000e+02,41,50227,98,1
3.540000e+02,41,50347,98,1
3.550000e+02,41,49954,97,0
3.560000e+02,42,50076,97,0
3.570000e+02,42,50197,98,1
3.580000e+02,42,50317,98,1
3.590000e+02,42,49924,97,0
3.600000e+02,43,50046,97,0
3.610000e+02,43,50168,97,0
3.620000e+02,43,49777,97,1
3.630000e+02,44,49901,97,1
3.640000e+02,44,50024,97,0
3.650000e+02,44,50146,97,0
3.660000e+02,44,49755,97,1
3.670000e+02,45,49879,97,1
3.680000e+02,45,50002,97,0
3.690000e+02,45,49612,96,0
3.700000e+02,46,49737,97,1
3.710000e+02,46,49861,97,1
3.720000e+02,46,49984,97,0
3.730000e+02,46,49594,96,0
3.740000e+02,47,49719,97,1
3.750000e+02,47,49843,97,1
3.760000e+02,47,49454,96,0
3.770000e+02,48,49580,96,0
3.780000e+02,48,49705,97,1
3.790000e+02,48,49317,96,1
3.800000e+02,49,49444,96,0
3.810000e+02,49,49570,96,0
3.820000e+02,49,49695,97,1
